date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:58	218734/218734	---M-Z	200	added ('OK')	text/html	etag:%22aed8667a1bb3c756b6860e14e4f9ed38%22	https://www.cheesy-engadin.ch/	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/index.html	(from )
17:16:58	99/99	---M-Z	200	added ('OK')	text/plain	etag:%22631db1484834575bfd84c7d75590c768%22	https://www.cheesy-engadin.ch/robots.txt		(from )
17:16:58	602/602	---MC-	200	added ('OK')	image/png	etag:%2254aa66bdabf74d32e9893f2b0de1d394%22	https://framerusercontent.com/images/u0NdKQSUtTBgw2m9zgm2KRPOuXs.png	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/u0NdKQSUtTBgw2m9zgm2KRPOuXs.png	(from https://www.cheesy-engadin.ch/)
17:16:58	171314/171314	---M-Z	200	added ('OK')	text/html	etag:%22b15b540a3be15c5c2865399d8817df80%22	https://www.cheesy-engadin.ch/menu	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/menu.html	(from https://www.cheesy-engadin.ch/)
17:16:59	177492/177492	---M-Z	200	added ('OK')	text/html	etag:%22e391f6d2a8e4ee439d75d653982fc6bb%22	https://www.cheesy-engadin.ch/catering	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/catering.html	(from https://www.cheesy-engadin.ch/)
17:16:59	202471/202471	---M-Z	200	added ('OK')	text/html	etag:%225d08645fa2b3057ff668a8efacb4395b%22	https://www.cheesy-engadin.ch/about-us	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/about-us.html	(from https://www.cheesy-engadin.ch/)
17:16:59	161098/161098	---M-Z	200	added ('OK')	text/html	etag:%22155e89d2dbe38c895da84225a1cc337e%22	https://www.cheesy-engadin.ch/privacypolicy	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/privacypolicy.html	(from https://www.cheesy-engadin.ch/)
17:17:00	130437/130437	---M-Z	200	added ('OK')	text/html	etag:%2222c624af5830ceefdab285037aba2f70%22	https://www.cheesy-engadin.ch/impresum	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/impresum.html	(from https://www.cheesy-engadin.ch/)
17:17:00	151071/151071	---MC-	200	added ('OK')	image/jpeg	etag:%22daa5a2f8a8af3a8f8491ecf2b27d9d8a%22	https://framerusercontent.com/images/qNex6dwcZ9G5qblR3rY099KvTo.jpg?width=1179&height=1147	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/qNex6dwcZ9G5qblR3rY099KvTo2e6a.jpg	(from https://www.cheesy-engadin.ch/)
17:17:00	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2015:17:43%20GMT	https://www.cheesy-engadin.ch/%22https://snapwidget.com/js/snapwidget.js%22	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/_https_/snapwidget.com/js/snapwidget.7.delayed	(from https://www.cheesy-engadin.ch/)
17:17:00	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2015:17:43%20GMT	https://www.cheesy-engadin.ch/%22https://snapwidget.com/embed/1098520%22	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/_https_/snapwidget.com/embed/1098520_.8.delayed	(from https://www.cheesy-engadin.ch/)
17:17:01	111051/111051	---MC-	200	added ('OK')	image/jpeg	etag:%228a31ad46027daedf2762f8f44eba3e9c%22	https://framerusercontent.com/images/ktBwtRANzqVgHjehtlWra0XY8w.jpg?scale-down-to=1024&width=2048&height=1365	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/ktBwtRANzqVgHjehtlWra0XY8w40d4.jpg	(from https://www.cheesy-engadin.ch/)
17:17:01	244146/244146	---MC-	200	added ('OK')	image/jpeg	etag:%2242b6b14c4b85c6f8fe869ceff6dc8cf1%22	https://framerusercontent.com/images/bMquWmhZm7Vh4nkCruRgUBSkBQ.jpg?scale-down-to=1024&width=1915&height=1365	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/bMquWmhZm7Vh4nkCruRgUBSkBQ9738.jpg	(from https://www.cheesy-engadin.ch/)
17:17:01	126230/126230	---MC-	200	added ('OK')	image/jpeg	etag:%2278c8da30b31bcf008eaaee6854543ef1%22	https://framerusercontent.com/images/l1KEZrh8sBedgzp5EcX6Rf6VX8.jpg?scale-down-to=1024&width=1692&height=1056	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/l1KEZrh8sBedgzp5EcX6Rf6VX8aca0.jpg	(from https://www.cheesy-engadin.ch/)
17:17:01	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2015:17:44%20GMT	https://www.cheesy-engadin.ch/%22https://snapwidget.com/embed/1098522%22	C:/Meine%20Webseiten/cheesy%20engadin/www.cheesy-engadin.ch/_https_/snapwidget.com/embed/1098522_.c.delayed	(from https://www.cheesy-engadin.ch/)
17:17:02	190968/190968	---MC-	200	added ('OK')	image/jpeg	etag:%225d929de142137526362ddf0093ecef0e%22	https://framerusercontent.com/images/ktBwtRANzqVgHjehtlWra0XY8w.jpg	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/ktBwtRANzqVgHjehtlWra0XY8w.jpg	(from https://www.cheesy-engadin.ch/menu)
17:17:02	543089/543089	---MC-	200	added ('OK')	image/jpeg	etag:%22314371c635837a7364b92c19fa69b013%22	https://framerusercontent.com/images/bMquWmhZm7Vh4nkCruRgUBSkBQ.jpg	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/bMquWmhZm7Vh4nkCruRgUBSkBQ.jpg	(from https://www.cheesy-engadin.ch/catering)
17:17:03	344299/344299	---MC-	200	added ('OK')	image/jpeg	etag:%22862cda7931f6392a2347c0714f5c4e1a%22	https://framerusercontent.com/images/l1KEZrh8sBedgzp5EcX6Rf6VX8.jpg	C:/Meine%20Webseiten/cheesy%20engadin/framerusercontent.com/images/l1KEZrh8sBedgzp5EcX6Rf6VX8.jpg	(from https://www.cheesy-engadin.ch/about-us)
